url,lat,long
"https://www.google.com/maps/place/Dulce+De+Leche+Bakery/@40.7476428,-74.0527625,17z/data=!3m1!4b1!4m6!3m5!1s0x89c2576bd9dd510b:0x54a973d7ab1c6e8d!8m2!3d40.7476388!4d-74.0478916!16s%2Fg%2F11c208cf_z?entry=ttu",40.7476428,-74.0527625
"https://www.google.com/maps/place/Dulce+De+Leche+Bakery/@40.7933982,-74.015315,16z/data=!3m1!4b1!4m6!3m5!1s0x89c2580c0030442b:0xc9b5c71a0c0fb21b!8m2!3d40.7933942!4d-74.0127401!16s%2Fg%2F1tflh3zh?entry=ttu",40.7933982,-74.015315
"https://www.google.com/maps/place/Dulce+de+Leche+Bakery/@40.8955358,-73.9798118,17z/data=!3m1!4b1!4m6!3m5!1s0x89c2f1932bd68ccd:0x55ca8a6bc44bd2c1!8m2!3d40.8955318!4d-73.9772369!16s%2Fg%2F11j79ttqpv?entry=ttu",40.8955358,-73.9798118
"https://www.google.com/maps/place/Olga's+Diner/@39.8985545,-74.9335449,17z/data=!3m1!4b1!4m6!3m5!1s0x89c135bb2f3a5c87:0x7f9384da8ec05ba8!8m2!3d39.8985504!4d-74.93097!16s%2Fg%2F11h3qwvcp0?entry=ttu",39.8985545,-74.9335449
"https://www.google.com/maps/place/Houlihan's/@40.412303,-74.1508439,16z/data=!3m1!4b1!4m6!3m5!1s0x89c233f219df7b8f:0xefdc286f12aacea!8m2!3d40.412299!4d-74.145973!16s%2Fg%2F1tdch8bq?entry=ttu",40.412303,-74.1508439
"https://www.google.com/maps/place/Rumba+Cubana/@40.7783059,-74.0355059,15.26z/data=!4m11!1m4!7m3!1m1!1s104415763384984434922!2e2!3m5!1s0x89c257f4fa05bef1:0xc4f3ea6b08fc08ff!8m2!3d40.784076!4d-74.0336385!16s%2Fg%2F1264lvbsk?entry=ttu&g_ep=EgoyMDI0MDgyMS4wIKXMDSoASAFQAw%3D%3D",40.7783059,-74.0355059
"https://www.google.com/maps/place/Rumba+Cubana/@40.7274999,-74.0464528,16z/data=!4m16!1m9!3m8!1s0x89c2574c67ff1fdd:0x9505e4f2f8b79bf6!2sRumba+Cubana!8m2!3d40.7274999!4d-74.0438779!9m1!1b1!16s%2Fg%2F11f7r4fq7s!3m5!1s0x89c2574c67ff1fdd:0x9505e4f2f8b79bf6!8m2!3d40.7274999!4d-74.0438779!16s%2Fg%2F11f7r4fq7s?entry=ttu&g_ep=EgoyMDI0MDgyMS4wIKXMDSoASAFQAw%3D%3D",40.7274999,-74.0464528
"https://www.google.com/maps/place/Tire+%26+Ride+Mobile/@33.7226838,-84.3977059,17z/data=!3m1!4b1!4m6!3m5!1s0x88f503f06a342aab:0x3cc6d40666ffdc1f!8m2!3d33.7226839!4d-84.3928403!16s%2Fg%2F11jg5dgy2g?entry=ttu&g_ep=EgoyMDI0MDgyMS4wIKXMDSoASAFQAw%3D%3D",33.7226838,-84.3977059
"https://www.google.com/maps/place/Patricias+of+Holmdel/@40.412299,-74.145973,16z/data=!4m16!1m9!3m8!1s0x89c233f219df7b8f:0xefdc286f12aacea!2sHoulihan's!8m2!3d40.412299!4d-74.145973!9m1!1b1!16s%2Fg%2F1tdch8bq!3m5!1s0x89c233ed428c0b55:0xfbd433f151967c3b!8m2!3d40.4113818!4d-74.1475172!16s%2Fg%2F11bx9xd7h6?entry=ttu&g_ep=EgoyMDI0MDgyMS4wIKXMDSoASAFQAw%3D%3D",40.412299,-74.145973
"https://www.google.com/maps/place/Over+Easy+Kitchen+-+Holmdel/@40.412299,-74.145973,16z/data=!4m16!1m9!3m8!1s0x89c233f219df7b8f:0xefdc286f12aacea!2sHoulihan's!8m2!3d40.412299!4d-74.145973!9m1!1b1!16s%2Fg%2F1tdch8bq!3m5!1s0x89c233590b3b95c7:0x599f0c52b3d23c6d!8m2!3d40.4139527!4d-74.1480256!16s%2Fg%2F11f76tjkxs?entry=ttu&g_ep=EgoyMDI0MDgyMS4wIKXMDSoASAFQAw%3D%3D",40.412299,-74.145973
